WeekEndDate,Admissions,ObservedDeaths,Maintenance,MainHi,MainLo,X50.,X50.Hi,X50.Lo,None,NoneHi,NoneLo
2020-10-25,461275,91652,83455.09162342556,89781.30132978411,77128.881917067,77994.19848622881,87456.02814027068,68532.36883218696,114842.33031616645,130348.91334753984,99335.74728479305
2020-11-01,507761,99809,91865.4615528745,98829.20891986886,84901.71418588013,85854.23493049922,96269.60122385123,75438.86863714721,126415.81807743102,143485.11102977654,109346.52512508548
2020-11-08,564657,110928,102159.23618407373,109903.29036902479,94415.18199912267,95474.43528185681,107056.87167438256,83891.99888933107,140581.05405525034,159563.00767239023,121599.10043811044
2020-11-15,635685,121744,115009.80959002174,123727.9855527046,106291.63362733887,107484.1299977635,120523.51687897234,94444.74311655469,158264.69404808903,179634.38075189607,136895.007344282
2020-11-22,717530,137781,129817.42321295656,139658.07195959025,119976.7744663229,121322.80578792209,136041.02514007568,106604.58643576848,178641.41189476757,202762.46446102706,154520.3593285081
2020-11-29,804402,155688,145534.53495651568,156566.59986403122,134502.47004900014,136011.4665887365,152511.63394523878,119511.29923223425,200269.68769385925,227311.0977065476,173228.2776811709
2020-12-06,899005,174935,162650.3596442853,174979.86841251436,150320.8508760562,152007.3153977825,170448.0116595177,133566.61913604732,223822.7286670321,254044.38749987548,193601.06983418867
2020-12-13,1000658,191303,181041.68895715955,194765.3296321264,167318.0482821927,169195.20604592218,189721.04321020425,148669.36888164008,249130.98817303017,282769.8941683866,215492.08217767373
2020-12-20,1105657,210209,200038.38542969342,215202.0471180643,184874.72374132255,186948.85158677207,209628.46394339006,164269.23923015408,275272.29182240885,312440.92674673646,238103.65689808127
2020-12-27,1212002,233317,219278.60377816926,235900.74635369575,202656.4612026428,204930.08412271703,229791.08128137083,180069.0869640632,301748.7052796149,342492.3173270717,261005.09323215816
2021-01-03,1324347,257083,239604.357977798,257767.2691392241,221441.4468163719,223925.8203515076,251091.27635246445,196760.36435055075,329718.9217434808,374239.2116309671,285198.6318559944
2021-01-10,1440738,278989,260662.1251863875,280421.2942718996,240902.95610087537,243605.67023717376,273158.5780082538,214052.7624660937,358696.4593681709,407129.44061244995,310263.47812389175
2021-01-17,1549493,301197,280338.36710174306,301589.069300073,259087.66490341318,261994.39508974503,293778.1224023683,230210.6677771218,385772.88369971863,437861.8585217485,333683.9088776887
2021-01-24,1643483,321934,297343.28621005325,319883.02520920837,274803.54721089813,277886.595438172,311598.2775915809,244174.9132847631,409173.30779904436,464421.9243513193,353924.6912467694
2021-01-31,1724090,339351,311926.9176023669,335572.15069029864,288281.6845144351,291515.9452997068,326881.0656470853,256150.82495232823,429241.80429201544,487200.1691254891,371283.43945854175
2021-02-07,1793177,352579,324426.32016046694,349019.0549555868,299833.58536534704,303197.4480709779,339979.70445501304,266415.1916869427,446442.1990121997,506723.0467504232,386161.35127397615
2021-02-14,1848797,366359,334489.2375006543,359844.77926313126,309133.6957381773,312601.89730365697,350525.05004096904,274678.7445663449,460289.752883936,522440.3662678264,398139.1395000456
2021-02-21,1895235,378240,342890.923143294,368883.34426481684,316898.50202177116,320453.8177183846,359329.52250268473,281578.11293408455,471851.2902211473,535562.9999202746,408139.58052202
2021-02-28,1936965,387804,350440.82498806244,377005.55705435,323876.09292177483,327509.690902126,367241.3756364845,287778.0061677676,482240.6901324662,547355.228317636,417126.15194729646
